2026-01-12 14:52:30 | data_ingestion.client_infoclimat | INFO | 515 hourly records pour 000BG
2026-01-12 14:52:30 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
2026-01-12 14:53:12 | data_ingestion.client_infoclimat | INFO | 515 hourly records pour 000BG
2026-01-12 14:53:12 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
2026-01-12 14:54:09 | data_ingestion.client_infoclimat | INFO | 515 hourly records pour 000BG
2026-01-12 14:54:09 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
2026-01-12 14:55:11 | data_ingestion.client_infoclimat | INFO | 515 hourly records pour 000BG
2026-01-12 14:55:11 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
2026-01-12 14:57:57 | data_ingestion.client_infoclimat | INFO | 515 hourly records pour 000BG
2026-01-12 14:57:57 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
2026-01-12 15:00:24 | data_ingestion.client_infoclimat | INFO | 515 hourly records pour 000BG
2026-01-12 15:00:24 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
2026-01-12 15:06:37 | data_ingestion.client_infoclimat | INFO | 516 hourly records pour 000BG
2026-01-12 15:06:37 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
2026-01-12 15:09:30 | data_ingestion.client_infoclimat | INFO | 516 hourly records pour 000BG
2026-01-12 15:09:30 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
2026-01-12 15:10:26 | data_ingestion.client_infoclimat | INFO | 863 hourly records pour 000BG
2026-01-12 15:10:26 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
2026-01-12 15:11:23 | data_ingestion.client_infoclimat | INFO | 516 hourly records pour 000BG
2026-01-12 15:11:23 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
2026-01-12 15:12:53 | data_ingestion.client_infoclimat | INFO | 517 hourly records pour 000BG
2026-01-12 15:12:53 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
2026-01-12 15:18:58 | data_ingestion.client_infoclimat | INFO | 517 hourly records pour 000BG
2026-01-12 15:18:58 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
2026-01-12 15:19:56 | data_ingestion.client_infoclimat | INFO | 4426 hourly records pour 000BG
2026-01-12 15:19:57 | data_ingestion.client_infoclimat | INFO | 3655 hourly records pour 000BG
2026-01-12 15:19:57 | data_ingestion.client_infoclimat | INFO | 2 batches récupérés
2026-01-12 15:45:49 | data_ingestion.client_infoclimat | INFO | 520 hourly records pour 000BG
2026-01-12 15:45:49 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
2026-01-12 15:47:03 | data_ingestion.client_infoclimat | INFO | 520 hourly records pour 000BG
2026-01-12 15:47:03 | data_ingestion.client_infoclimat | INFO | 1 batches récupérés
